ID,Basic Information Presence,Letter Length,Inappropriate Keywords,Repetitive Content,Reviewer's Judgment
440,Yes,396,Yes,Yes,Not Good
441,No,228,No,No,Good
442,No,389,No,No,Good
443,Yes,394,Yes,No,Not Good
444,No,399,No,No,Good
445,Yes,211,Yes,Yes,Not Good
446,No,416,No,No,Good
447,Yes,388,No,Yes,Not Good
448,Yes,372,No,Yes,Good
449,Yes,494,No,No,Good
450,Yes,500,No,Yes,Not Good
451,Yes,410,No,No,Good
452,No,465,No,No,Not Good
453,No,362,No,Yes,Good
454,No,469,No,No,Not Good
455,Yes,333,No,Yes,Not Good
456,Yes,370,No,No,Good
457,No,369,No,Yes,Not Good
458,Yes,401,Yes,Yes,Good
459,No,312,No,No,Good
460,Yes,438,Yes,No,Good
461,Yes,493,No,Yes,Good
462,No,251,No,No,Good
463,Yes,270,Yes,Yes,Not Good
464,Yes,462,Yes,No,Not Good
465,Yes,280,Yes,No,Not Good
466,Yes,248,No,No,Good
467,Yes,417,No,No,Good
468,Yes,349,No,No,Good
469,Yes,404,No,Yes,Not Good
470,No,434,No,No,Not Good
471,Yes,273,No,No,Good
472,Yes,230,No,No,Good
473,Yes,491,Yes,No,Good
474,Yes,490,Yes,Yes,Good
475,No,418,No,Yes,Not Good
476,No,345,No,No,Not Good
477,Yes,264,No,No,Good
478,Yes,424,No,No,Good
479,Yes,272,Yes,Yes,Not Good
480,Yes,249,Yes,No,Not Good
481,Yes,231,No,No,Good
482,Yes,263,No,No,Good
483,Yes,244,Yes,No,Not Good
484,Yes,294,No,No,Good
485,Yes,348,No,Yes,Good
486,Yes,214,No,No,Good
487,No,336,No,No,Not Good
488,Yes,263,No,Yes,Good
489,Yes,408,No,No,Good
490,No,428,Yes,No,Good
491,Yes,353,No,No,Good
492,No,263,No,No,Not Good
493,Yes,256,No,No,Good
494,Yes,281,No,Yes,Good
495,Yes,366,No,Yes,Not Good
496,Yes,295,No,No,Good
497,Yes,393,No,No,Not Good
498,Yes,484,Yes,Yes,Good
499,Yes,277,No,Yes,Not Good
500,Yes,307,No,Yes,Not Good
501,No,265,Yes,No,Good
502,Yes,213,No,Yes,Not Good
503,Yes,396,No,No,Good
504,Yes,321,Yes,No,Not Good
505,Yes,424,Yes,No,Not Good
506,No,444,No,No,Good
507,Yes,453,No,No,Good
508,No,432,No,No,Not Good
509,No,440,No,No,Not Good
510,Yes,404,No,No,Good
511,Yes,422,No,Yes,Good
512,Yes,387,No,No,Not Good
513,No,221,No,No,Not Good
514,Yes,413,No,No,Good
515,Yes,266,No,No,Good
516,No,456,Yes,No,Not Good
517,Yes,454,Yes,Yes,Not Good
518,No,407,No,Yes,Not Good
519,Yes,432,Yes,No,Good
520,No,424,No,No,Not Good
521,No,299,Yes,No,Not Good
522,Yes,368,Yes,No,Good
523,No,311,No,No,Good
524,No,442,No,No,Not Good
525,Yes,380,Yes,Yes,Not Good
526,Yes,394,No,No,Not Good
527,No,384,No,No,Not Good
528,Yes,473,No,No,Good
529,Yes,219,No,No,Good
530,Yes,397,No,Yes,Not Good
531,Yes,448,Yes,No,Not Good
532,Yes,244,No,No,Not Good
533,Yes,213,No,No,Not Good
534,Yes,350,Yes,No,Good
535,Yes,385,No,No,Not Good
536,Yes,480,No,Yes,Not Good
537,No,270,Yes,No,Good
538,Yes,200,No,Yes,Good
539,Yes,287,No,No,Good
540,Yes,448,Yes,Yes,Not Good
541,No,265,No,No,Good
542,No,250,No,No,Not Good
543,Yes,388,No,No,Good
544,Yes,266,Yes,No,Not Good
545,Yes,225,No,No,Good
546,Yes,456,Yes,No,Not Good
547,Yes,460,No,No,Good
548,No,384,No,No,Good
549,Yes,368,No,Yes,Good
550,No,270,Yes,No,Not Good
551,Yes,272,No,No,Good
552,Yes,442,No,No,Not Good
553,Yes,358,Yes,No,Not Good
554,Yes,471,Yes,No,Not Good
555,Yes,495,No,Yes,Not Good
556,Yes,279,Yes,No,Not Good
557,No,412,Yes,Yes,Not Good
558,Yes,347,No,No,Not Good
559,Yes,220,Yes,Yes,Not Good
560,Yes,450,No,No,Good
561,Yes,308,No,No,Good
562,No,357,No,Yes,Good
563,No,296,Yes,Yes,Not Good
564,Yes,348,No,No,Not Good
565,Yes,439,No,No,Not Good
566,Yes,303,No,No,Good
567,Yes,295,No,No,Good
568,No,371,No,No,Not Good
569,Yes,212,No,No,Good
570,Yes,350,No,No,Good
571,No,288,No,No,Not Good
572,Yes,306,No,No,Good
573,No,476,No,Yes,Not Good
574,Yes,242,No,No,Good
575,Yes,435,No,Yes,Not Good
576,Yes,482,No,No,Good
577,Yes,207,Yes,No,Not Good
578,Yes,253,Yes,No,Not Good
579,Yes,485,No,Yes,Good
580,Yes,337,No,No,Good
581,Yes,422,No,No,Good
582,Yes,323,No,Yes,Not Good
583,Yes,243,Yes,No,Good
584,Yes,363,No,No,Good
585,Yes,315,No,Yes,Good
586,No,227,Yes,No,Good
587,Yes,208,No,Yes,Good
588,Yes,231,Yes,Yes,Not Good
589,No,241,No,No,Not Good
590,No,363,Yes,No,Not Good
591,Yes,335,No,Yes,Not Good
592,No,357,No,Yes,Not Good
593,No,442,Yes,Yes,Not Good
594,Yes,234,No,No,Good
595,No,263,No,No,Good
596,Yes,255,Yes,No,Good
597,Yes,205,No,Yes,Not Good
598,No,443,No,Yes,Good
599,Yes,418,No,Yes,Not Good
600,Yes,481,No,Yes,Not Good
601,Yes,356,Yes,No,Not Good
602,Yes,327,No,No,Good
603,Yes,483,Yes,No,Good
604,Yes,323,No,Yes,Good
605,Yes,493,Yes,Yes,Not Good
606,Yes,338,No,No,Good
607,Yes,493,No,Yes,Good
608,No,239,No,No,Good
609,No,458,No,No,Good
610,Yes,428,No,Yes,Not Good
611,Yes,359,No,No,Good
612,No,450,No,Yes,Good
613,Yes,434,No,No,Good
614,Yes,315,No,No,Not Good
615,Yes,336,No,No,Good
616,Yes,215,Yes,Yes,Not Good
617,No,331,No,Yes,Not Good
618,No,383,No,No,Good
619,No,317,No,No,Good
620,Yes,398,Yes,No,Not Good
621,Yes,426,No,No,Good
622,No,308,No,No,Good
623,No,400,Yes,Yes,Not Good
624,Yes,305,No,Yes,Good
625,No,460,No,Yes,Good
626,Yes,457,No,No,Good
627,Yes,235,No,No,Good
628,Yes,295,No,Yes,Good
629,Yes,422,Yes,No,Not Good
630,No,351,No,No,Not Good
631,No,281,No,No,Good
632,No,239,No,Yes,Not Good
633,Yes,320,No,No,Good
634,Yes,372,Yes,No,Not Good
635,Yes,279,No,No,Good
636,Yes,265,No,No,Good
637,Yes,213,No,Yes,Not Good
638,Yes,437,No,No,Good
639,No,279,No,No,Good
640,No,319,No,Yes,Not Good
641,No,254,No,No,Not Good
642,No,442,No,Yes,Good
643,Yes,319,No,Yes,Not Good
644,No,358,Yes,No,Not Good
645,Yes,299,No,Yes,Good
646,Yes,231,No,No,Not Good
647,Yes,260,Yes,No,Good
648,Yes,408,No,Yes,Good
649,No,210,No,Yes,Not Good
650,Yes,436,No,No,Good
651,Yes,267,Yes,Yes,Good
652,Yes,289,Yes,Yes,Good
653,No,419,No,Yes,Not Good
654,No,285,No,No,Good
655,Yes,464,Yes,No,Good
656,Yes,326,No,Yes,Not Good
657,Yes,493,No,No,Good
658,No,455,No,No,Good
659,Yes,466,Yes,Yes,Not Good
660,Yes,321,No,No,Good
661,No,402,No,Yes,Not Good
662,Yes,346,Yes,Yes,Good
663,Yes,246,Yes,Yes,Not Good
664,Yes,377,No,Yes,Good
665,No,444,Yes,No,Not Good
666,Yes,494,No,Yes,Not Good
667,Yes,415,Yes,No,Good
668,Yes,476,No,No,Good
669,Yes,431,No,Yes,Good
670,Yes,470,No,No,Good
671,Yes,400,No,Yes,Good
672,No,466,No,Yes,Good
673,No,450,No,No,Good
674,No,400,No,No,Not Good
675,Yes,326,No,No,Good
676,Yes,355,No,No,Good
677,Yes,225,No,Yes,Good
678,No,356,No,No,Not Good
679,No,314,No,No,Good
680,No,423,No,No,Not Good
681,Yes,290,No,Yes,Good
682,Yes,284,No,No,Good
683,Yes,429,No,No,Not Good
684,Yes,280,Yes,No,Good
685,No,379,No,Yes,Not Good
686,Yes,345,No,No,Good
687,Yes,375,No,No,Good
688,Yes,219,No,No,Not Good
689,Yes,292,No,No,Good
690,No,446,No,No,Not Good
691,Yes,259,No,No,Not Good
692,Yes,318,No,Yes,Good
693,No,474,No,No,Not Good
694,Yes,270,No,No,Good
695,Yes,457,No,No,Not Good
696,Yes,359,No,No,Good
697,Yes,450,No,Yes,Good
698,Yes,383,No,No,Not Good
699,Yes,429,No,Yes,Good
700,Yes,473,Yes,No,Not Good
701,No,450,No,No,Good
702,No,319,No,No,Good
703,No,434,No,Yes,Not Good
704,No,221,No,Yes,Good
705,Yes,474,No,No,Not Good
706,No,323,No,No,Not Good
707,Yes,449,No,No,Good
708,Yes,444,No,Yes,Not Good
709,Yes,348,No,No,Good
710,Yes,448,No,No,Not Good
711,No,228,No,No,Not Good
712,No,457,No,No,Not Good
713,Yes,252,No,Yes,Not Good
714,Yes,215,Yes,No,Good
715,Yes,468,No,No,Good
716,Yes,220,No,Yes,Good
717,Yes,443,No,No,Not Good
718,No,476,No,No,Good
719,Yes,225,No,Yes,Not Good
720,No,212,Yes,No,Good
721,No,368,No,Yes,Good
722,No,447,No,No,Good
723,No,282,No,Yes,Good
724,Yes,285,No,Yes,Good
725,No,476,No,No,Good
726,No,386,Yes,No,Good
727,No,344,Yes,No,Not Good
728,Yes,368,No,No,Good
729,Yes,239,No,No,Good
730,No,321,No,Yes,Not Good
731,Yes,200,Yes,No,Not Good
732,Yes,364,No,No,Not Good
733,No,301,No,No,Good
734,Yes,326,No,No,Good
735,Yes,266,No,No,Good
736,Yes,456,No,Yes,Good
737,No,450,No,No,Good
738,No,279,No,Yes,Good
739,No,366,Yes,No,Not Good
740,Yes,304,Yes,Yes,Not Good
741,Yes,232,Yes,No,Good
742,Yes,478,No,Yes,Not Good
743,No,359,Yes,No,Good
744,Yes,389,No,No,Good
745,No,379,Yes,No,Not Good
746,No,343,No,No,Good
747,Yes,433,No,No,Good
748,Yes,251,No,No,Good
749,Yes,337,No,No,Good
750,No,354,No,No,Good
751,No,449,No,No,Good
752,No,296,No,Yes,Not Good
753,Yes,450,Yes,No,Not Good
754,Yes,374,No,No,Good
755,No,479,No,No,Good
756,Yes,495,No,Yes,Good
757,Yes,420,No,No,Good
758,No,489,No,Yes,Not Good
759,Yes,463,No,Yes,Not Good
760,Yes,353,No,No,Not Good
761,Yes,237,No,No,Good
762,No,495,Yes,Yes,Not Good
763,Yes,465,No,No,Not Good
764,No,233,Yes,No,Not Good
765,No,480,No,No,Good
766,Yes,500,No,No,Good
767,Yes,441,No,No,Not Good
768,Yes,437,No,Yes,Not Good
769,Yes,444,No,No,Good
770,No,219,No,No,Not Good
771,No,311,No,Yes,Not Good
772,Yes,355,No,No,Not Good
773,Yes,436,No,No,Good
774,Yes,446,No,No,Good
775,Yes,434,No,No,Good
776,No,436,No,Yes,Good
777,Yes,368,No,No,Good
778,Yes,326,No,No,Not Good
779,No,250,No,Yes,Not Good
780,Yes,243,Yes,No,Not Good
781,No,293,Yes,Yes,Not Good
782,Yes,401,Yes,No,Good
783,Yes,427,No,No,Good
784,Yes,340,Yes,No,Good
785,No,453,No,No,Good
786,Yes,329,No,No,Good
787,Yes,359,Yes,Yes,Not Good
788,Yes,430,No,No,Good
789,Yes,293,No,No,Good
790,Yes,447,No,Yes,Not Good
791,No,234,No,No,Not Good
792,Yes,230,No,No,Good
793,Yes,376,Yes,No,Good
794,No,379,No,Yes,Good
795,No,358,No,No,Good
796,No,316,No,Yes,Not Good
797,Yes,299,Yes,No,Not Good
798,Yes,376,No,Yes,Good
799,No,409,No,Yes,Good
800,Yes,401,No,Yes,Not Good
801,No,264,Yes,No,Not Good
802,Yes,339,Yes,Yes,Not Good
803,Yes,395,No,No,Good
804,Yes,220,Yes,Yes,Not Good
805,No,276,No,No,Good
806,Yes,483,Yes,No,Not Good
807,Yes,261,Yes,No,Not Good
808,Yes,238,No,No,Not Good
809,Yes,413,No,No,Good
810,Yes,377,No,Yes,Not Good
811,Yes,339,No,Yes,Not Good
812,No,224,No,Yes,Not Good
813,No,426,No,Yes,Good
814,Yes,338,No,No,Good
815,No,319,No,No,Good
816,Yes,361,No,No,Not Good
817,Yes,452,No,No,Good
818,Yes,473,No,No,Not Good
819,Yes,464,No,No,Good
820,No,209,No,No,Good
821,Yes,486,Yes,Yes,Good
822,Yes,294,No,Yes,Good
823,Yes,271,No,Yes,Not Good
824,Yes,456,No,Yes,Not Good
825,Yes,455,No,No,Good
826,Yes,410,No,Yes,Good
827,No,289,No,No,Good
828,Yes,278,No,No,Good
829,No,318,No,No,Not Good
830,Yes,226,Yes,No,Good
831,Yes,201,No,Yes,Not Good
832,No,469,No,No,Not Good
833,Yes,253,No,No,Good
834,No,470,Yes,Yes,Not Good
835,Yes,380,No,Yes,Good
836,No,360,No,Yes,Good
837,No,479,No,No,Good
838,Yes,372,Yes,No,Good
839,Yes,461,Yes,No,Not Good
840,Yes,347,No,No,Not Good
841,No,228,No,No,Good
842,Yes,362,Yes,No,Good
843,Yes,343,No,Yes,Good
844,No,383,No,No,Good
845,Yes,365,No,Yes,Not Good
846,Yes,265,Yes,No,Good
847,Yes,350,No,Yes,Good
848,Yes,331,No,Yes,Not Good
849,Yes,373,No,Yes,Good
850,Yes,297,No,No,Good
851,Yes,418,No,No,Good
852,Yes,424,No,Yes,Not Good
